gm_index,Event,Stat,signal_pe_ratio_max,signal_ratio_max,snr_min,snr_max,snr_average,tail_ratio,mtail_ratio,tailnoise_ratio,mtailnoise_ratio,head_ratio,Snr_0.1_0.5,Snr_0.5_1.0,Snr_1.0_2.0,Snr_2.0_5.0,Snr_5.0_10.0,ft_a1_a2,PN/PGA,bracketedPGA_10_20,Ds575,Ds595,v18p7p4
1339.0,2016p119534,DSLC,0.005604042,0.017027666,2.41742,432.28275,228.27769,0.004461713,0.018725314,9524.2189,1796.238225,0.009539703,22.88008,98.43592,305.37818,270.89823,215.48428,0.34611697,0.009539703,2.584917527,4.463345058,12.01890567,1.0
1340.0,2016p119534,GODS,0.015176869,0.026001779,2.2902,538.53048,386.08181,0.000459861,0.001582724,55.38967641,40.31730016,0.001806639,7.39816,61.10232,218.27564,422.83489,459.94157,0.190327108,0.002152553,1.940248208,1.604501444,4.509201602,1.0
1342.0,2016p119534,OXZ,0.004390229,0.014634098,4.74317,288.66796,159.16779,0.003322205,0.012636756,3397.347821,277.4138408,0.009194642,11.38236,82.58193,173.83365,179.86727,162.60422,0.159172662,0.040131614,1.279144412,10.74168259,15.26110054,1.0
1343.0,2016p119534,PARS,0.016091791,0.031958259,2.03686,410.86081,292.63014,0.001700794,0.003831182,46.73457451,35.14502656,0.003731073,7.30896,53.68894,208.24005,302.81347,349.53678,0.211545109,0.005041735,27.23146075,1.882338928,4.942499257,1.0
1344.0,2016p119534,REHS,0.003759059,0.005416013,1.43785,1200.81471,244.18426,0.001132135,0.004590109,69.97197728,47.06465392,0.002189259,10.75113,104.70811,689.38258,455.88176,59.49803,0.165297619,0.004668501,1.728550744,5.088368977,10.86042332,1.0
1345.0,2016p119534,STKS,0.04267396,0.09609019,2.48607,218.68206,133.76114,0.001988348,0.007282619,241.8428662,169.7350356,0.004814146,3.20441,16.08614,37.4586,123.08199,181.5518,0.381546135,0.008176164,3.552010853,3.381855924,8.084317972,0.0
1346.0,2016p119534,TPLC,0.005750693,0.066094627,10.01049,442.25463,289.18474,0.00288815,0.010929471,223.7630567,169.0890992,0.018989203,23.8758,137.62919,290.23752,244.1345,351.10744,0.226954038,0.020486009,2.284301748,3.699043713,14.50340617,0.0
1347.0,2016p158394,CCCC,0.025664909,0.055043403,0.95392,55.23541,30.13788,0.014325566,0.050157851,28.20949485,20.81878126,0.021034619,1.49471,7.65329,24.81726,43.12381,27.65401,0.289090638,0.029874594,1.462627115,1.671002656,5.550445804,0.0
1348.0,2016p158394,HPSC,0.015112614,0.073506109,1.26475,63.96728,26.46097,0.026942746,0.085924088,54.96905608,36.00551687,0.041273887,2.30752,5.24479,28.31569,39.82611,21.27925,0.399092055,0.054067375,1.858088519,3.015111871,8.130737792,0.0
1350.0,2016p158394,LPCC,0.06994129,0.113690833,1.50994,23.53888,11.70751,0.010315652,0.045429727,19.29490212,15.06898427,0.039806807,2.12153,2.43452,4.59525,10.12663,15.65905,0.775179856,0.058959119,3.927785367,1.824314899,17.02541812,0.0
1351.0,2016p158394,MTHS,0.009662795,0.02029187,1.96537,124.0564,80.91988,0.014597052,0.046539445,2228.968139,500.2212156,0.031723485,12.09239,72.35771,71.03125,106.29097,73.48586,0.362167796,0.146344366,1.281713664,15.54883884,27.89770896,0.0
1352.0,2016p158394,PRPC,0.005033006,0.010500614,1.89846,478.52248,275.74365,0.001345919,0.005660206,14.50660535,10.65806036,0.002415036,14.25239,79.46794,288.48856,340.92829,273.8538,0.205116046,0.006726309,1.580053911,2.278919649,5.239460733,1.0
1354.0,2016p158394,SHLC,0.031415385,0.056167595,1.3119,59.5995,33.01629,0.010776385,0.047354488,22.86143063,20.29236847,0.037073635,2.53954,9.73259,30.24864,47.10235,29.49592,0.299701624,0.051544166,1.848390786,2.917018961,6.803118618,0.0
1355.0,2016p158394,SLRC,0.010490097,0.216674752,4.65081,85.93539,39.65315,0.08202396,0.228917805,306.0759473,294.4140437,0.208960445,9.49859,17.03635,31.18312,64.31639,30.88977,0.477763244,0.227915549,1.025897748,21.8248191,44.7871121,0.0
1356.0,2016p158394,SMTC,0.079330698,0.093912694,1.12401,25.57902,15.97879,0.016025387,0.072095245,33.45239143,34.00139731,0.054184822,2.04056,6.43601,16.10544,16.65958,17.43841,0.579706379,0.069536408,2.596958313,4.973263405,16.85081563,0.0
1357.0,2016p158394,TPLC,0.018357963,0.025801347,1.91113,361.27472,233.99849,0.001483653,0.005914922,243.0348666,204.4917044,0.002981513,18.56668,77.40166,183.08618,299.38489,236.75215,0.373664018,0.004558935,1.489060532,6.494936344,13.52739782,1.0
1358.0,2016p158394,WCSS,0.037684684,0.063810059,1.60341,154.77907,66.67158,0.005099577,0.018049685,549.2420531,454.5537024,0.017997534,2.27328,10.41282,29.78893,109.23683,59.17579,0.404205607,0.021136609,1.403827709,10.36950313,16.25217641,0.0
1359.0,2016p158394,WSFC,0.20933209,0.439245343,1.16449,10.42517,4.87278,0.050873337,0.186956438,1340.088215,963.1934159,0.218012739,1.65407,2.65799,3.98619,6.98661,4.23656,1.109159348,0.251416016,1.181334307,53.00956423,89.44970063,0.0
1360.0,2016p158394,CACS,0.007727749,0.026715897,2.19077,859.34571,448.11118,0.000375934,0.00143935,41.35941539,32.64504754,0.001024563,12.37642,62.46568,183.65282,498.99452,543.10667,0.267502987,0.001794505,2.023626761,1.712498137,6.962002071,1.0
1362.0,2016p158394,CSTC,0.028478106,0.071150347,2.20635,82.73129,42.92429,0.01619841,0.066607094,361.3431693,372.042781,0.053739238,4.79381,21.35682,37.18603,56.09609,40.95478,0.397171717,0.056384734,2.762508136,3.974921294,13.80988745,0.0
1363.0,2016p158394,DSLC,0.003287701,0.009296259,5.27875,659.13991,354.39972,0.003386899,0.009840172,6054.696685,923.0794463,0.005110313,33.13213,122.96338,246.90301,528.29291,318.97114,0.440302539,0.005110313,1.728221677,4.234155665,11.26983227,1.0
1365.0,2016p158394,HHSS,0.005511884,0.00812362,1.633,1672.65581,1104.66619,0.000135177,0.00052007,14.14300549,10.8496752,0.000478076,19.763,186.45657,636.68013,1542.13116,1111.99416,0.17096562,0.000649205,2.33585245,1.830580468,6.517537733,1.0
1366.0,2016p158394,KPOC,0.013872603,0.028995754,2.14505,609.27518,285.79471,0.00079508,0.002967749,118.4931328,84.20149708,0.002165849,7.17442,36.90122,212.89171,315.32927,329.10139,0.278486924,0.0035728,1.617689779,5.820811669,16.11086554,1.0
1367.0,2016p158394,PARS,0.015657205,0.041669263,2.18561,294.60189,239.3108,0.000681586,0.002460091,70.61927939,48.98126068,0.002778547,6.52023,30.85815,167.22282,266.32715,276.67308,0.30435689,0.003464905,1.614363328,3.415259797,6.72098936,1.0
